provider,city,car type,Night_start_time,night base fare,night base km,fare per km,Night waiting Charge,day base fare,day base km,fare per km,Day waiting charge,Night_end_time,Minimum bill,Cancellation Charge,ride charge,ride charge after,night ride charge,nide ride charge after
TaxiForSure,Jodhpur,hatchback,0,49,4,12,0,49,4,10,0,6,0,0,1,0,1,0
TaxiForSure,Jodhpur,sedan,0,49,4,14,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Kanpur,hatchback,0,75,4,12,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Kanpur,sedan,0,75,4,14,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Kochi,hatchback,0,49,4,12,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Kochi,sedan,0,49,4,14,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Kolkata,hatchback,0,49,3,12,0,49,3,12,0,6,0,0,1,0,1,0
TaxiForSure,Kolkata,sedan,0,49,3,14,0,49,3,14,0,6,0,0,1,0,1,0
TaxiForSure,Kota,hatchback,0,75,4,14,0,49,4,10,0,6,0,0,1,0,1,0
TaxiForSure,Kota,sedan,0,75,4,16,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Kota,suv,0,75,4,18,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Lucknow,hatchback,0,74,4,12,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Lucknow,sedan,0,74,4,14,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Ludhiana,hatchback,0,99,3,16,0,49,3,14,0,5,0,0,1,0,1,0
TaxiForSure,Ludhiana,sedan,0,99,3,18,0,49,3,16,0,5,0,0,1,0,1,0
TaxiForSure,Madurai,hatchback,0,69,4,18,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Madurai,sedan,0,69,4,20,0,49,4,16,0,6,0,0,1,0,1,0
TaxiForSure,Madurai,suv,0,190,5,22.5,0,150,5,18,0,6,0,0,1,0,1,0
TaxiForSure,Mangalore,hatchback,0,49,4,15,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Mangalore,sedan,0,49,4,17,0,49,4,16,0,6,0,0,1,0,1,0
TaxiForSure,Mathura,hatchback,0,74,4,12,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Mathura,sedan,0,74,4,14,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Mumbai,hatchback,0,60,3,18,0,49,3,15,0,5,0,0,1,0,1,0
TaxiForSure,Mumbai,sedan,0,60,3,22,0,49,3,18,0,5,0,0,1,0,1,0
